fy,full_sample,sel_index,typen,enter_repay_borrowers,lst_sel_index1,lst_sel_index2,lst_sel_index3,lst_sel_index4,lst_typen1,lst_typen2,lst_typen3,lst_typen4,tot_parplus_balance,f5_tot_parplus_balance,mn_parplus_loan,md_parplus_loan,pct75_par,pct90_par,alt_cdr2,alt_cdr3,alt_cdr5,fract,age_entry,cpi_adj
2002,,4,,57,,,,,,,,,729,453,12791,8530,16215,29322,0.019,0.031,0.05,0.515,44,0.796383
2003,,4,,61,,,,,,,,,799,506,13058,8513,16334,29350,0.022,0.042,0.071,0.49,44,0.811654
2004,,4,,72,,,,,,,,,1039,674,14397,8559,16575,31724,0.025,0.043,0.071,0.429,44,0.834702
2005,,4,,84,,,,,,,,,1279,878,15223,10172,19227,33763,0.024,0.039,0.064,0.454,45,0.858669
2006,,4,,92,,,,,,,,,1634,1195,17672,11348,22168,40123,0.025,0.04,0.065,0.426,44,0.876992
2007,,4,,89,,,,,,,,,1718,1244,19317,12613,24156,44600,0.034,0.054,0.085,0.393,43,0.906824
2008,,4,,88,,,,,,,,,1861,1397,21095,13304,26862,49500,0.032,0.061,0.103,0.38,42,0.910217
2009,,4,,85,,,,,,,,,1868,1398,21867,13672,27746,49414,0.035,0.052,0.08,0.351,42.5,0.929017
2010,,4,,99,,,,,,,,,2079,0,20922,12779,25538,47562,0.034,0.055,,,43,0.941916
2011,,4,,117,,,,,,,,,2330,0,19972,12227,24390,44474,0.035,0.057,,,42,0.965479
2012,,4,,131,,,,,,,,,3301,0,25136,16060,30911,56640,0.017,,,,42,0.980216
2013,,4,,104,,,,,,,,,3295,0,31535,19997,41649,71487,,,,,41,0.992323
2014,,4,,124,,,,,,,,,4542,0,36781,22906,48447,85923,,,,,40,1
1981,,5,,3,,,,,,,,,8,5,2956,2640,2644,5251,0.009,0.009,0.009,0.443,,0.452594
1982,,5,,4,,,,,,,,,13,7,3255,2610,4266,5251,0.019,0.019,0.026,0.499,,0.474364
1983,,5,,9,,,,,,,,,26,12,3049,2601,2682,5131,0.006,0.012,0.012,0.539,,0.491878
1984,,5,,11,,,,,,,,,42,20,3630,2630,4840,6980,0.011,0.017,0.024,0.534,,0.509814
1985,,5,,17,,,,,,,,,63,28,3777,2628,5012,7250,0.007,0.013,0.027,0.561,,0.528431
1986,,5,,15,,,,,,,,,63,26,4114,2632,5049,9061,0.015,0.025,0.033,0.581,,0.536539
1987,,5,,14,,,,,,,,,60,25,4387,3360,5167,9132,0.005,0.013,0.029,0.602,,0.556903
1988,,5,,19,,,,,,,,,83,36,4405,3457,5072,8242,0.025,0.042,0.07,0.573,,0.580705
1989,,5,,27,,,,,,,,,126,56,4663,3500,6444,9196,0.021,0.044,0.069,0.57,,0.60299
1990,,5,,31,,,,,,,,,147,68,4819,3506,6506,9286,0.041,0.061,0.096,0.564,,0.631967
1991,,5,,39,,,,,,,,,205,97,5281,3512,6693,10029,0.032,0.054,0.085,0.551,,0.648323
1992,,5,,52,,,,,,,,,280,154,5429,3516,6805,10328,0.021,0.043,0.084,0.496,,0.665147
1993,,5,,50,,,,,,,,,320,179,6461,4261,8309,12613,0.026,0.048,0.091,0.506,,0.679709
1994,,5,,27,,,,,,,,,202,103,7479,6087,9628,14539,0.026,0.037,0.057,0.57,,0.694281
1995,,5,,44,,,,,,,,,439,228,9907,7432,12911,19871,0.024,0.041,0.057,0.557,,0.707602
1996,,5,,52,,,,,,,,,574,290,10943,7480,14311,23751,0.022,0.032,0.046,0.578,,0.724261
1997,,5,,57,,,,,,,,,745,377,13150,9079,16859,28484,0.021,0.026,0.045,0.561,,0.732323
1998,,5,,60,,,,,,,,,889,486,14756,9664,18731,32900,0.017,0.024,0.04,0.565,,0.738253
1999,,5,,61,,,,,,,,,954,534,15651,10343,19723,34609,0.011,0.018,0.037,0.558,46,0.753413
2000,,5,,62,,,,,,,,,1026,561,16440,10959,20950,36409,0.011,0.023,0.036,0.569,45,0.77168
2001,,5,,62,,,,,,,,,1099,635,17767,11312,22124,40157,0.012,0.021,0.034,0.55,46,0.779909
2002,,5,,66,,,,,,,,,1176,738,17948,11025,22512,40885,0.01,0.017,0.029,0.516,46,0.796383
2003,,5,,70,,,,,,,,,1324,828,18887,11049,23311,42781,0.011,0.022,0.036,0.476,46,0.811654
2004,,5,,81,,,,,,,,,1635,1065,20262,12033,25348,46900,0.008,0.017,0.032,0.444,46,0.834702
2005,,5,,89,,,,,,,,,2106,1448,23591,15056,29718,51093,0.011,0.021,0.033,0.458,47,0.858669
2006,,5,,98,,,,,,,,,2484,1665,25396,16553,32170,56999,0.012,0.02,0.035,0.455,46,0.876992
2007,,5,,97,,,,,,,,,2771,1887,28672,18416,36800,65891,0.018,0.031,0.054,0.441,45,0.906824
2008,,5,,95,,,,,,,,,2993,1975,31627,19444,39451,74189,0.018,0.035,0.06,0.442,44,0.910217
2009,,5,,90,,,,,,,,,2790,1874,30993,19122,40938,72063,0.03,0.044,0.064,0.426,44,0.929017
2010,,5,,109,,,,,,,,,3352,0,30889,19269,39187,70449,0.019,0.035,,,43,0.941916
